article_id,article_title,response_found,values_inside_scope,extracted_value,confidence_level,source_citation
190638760,A Pricing Framework for Software-as-a-Service,yes,User/seat;Computing time;Storage;Transactions,"Multiple pricing units: User/seat (named or concurrent users), Transactions, Computing time (time-based access), Storage (memory/bandwidth in GB or Kbps), Role-based, Location-based, Performance metrics (business performance reflecting usage intensity)",high,"Page 2-3, Table I: 'User based. Does pricing refer to certain number of users (e.g., named or concurrent users)? | Transaction based. Does pricing refer to certain number of transactions processed by software? | Time based. Does pricing refer to time (e.g., minutes) of accessing SaaS application? | Performance based. Does pricing refer to business performance metrics reflecting software usage intensity (e.g., number of rooms managed in a hotel management service)? | Memory/Bandwidth based. Does pricing refer to units of memory (e.g., GB) or bandwidth (e.g., Kpbs) required? | Role based. Does pricing refer to a set of pre-defined roles (e.g., authoring user or viewing user in a document management application)? | Location based. Does pricing refer to certain location (e.g., particular computers, computer networks, or other physical devices)?'"
190638781,Selection of the Proper Revenue and Pricing Model for SaaS,yes,User/seat,User/seat,high,"Page 3: 'Firm A set the price for the software according to the number of users within the organization (concurrent user-based pricing)' | Page 3: 'a subscription based on named user-based pricing' | Page 4: 'We have two revenue models – SaaS where there is a price per user per month' | Page 4: 'Under the rental model, there is a monthly fee, which is dependent on the estimated number of users within the organization (concurrent user-based pricing)' | Page 4: 'In addition to concurrent user-based pricing'"
190638871,Transition to the Cloud: A Vendor Perspective,no,,not reported,high,information not found in text
190638976,Managing a Software Business,no,,not reported,high,information not found in text
190653396,Digital sustainable business models: Using digital technology to integrate ecological sustainability into the core of business models,yes,Transactions,Transactions,medium,"Page 13, Section 4.2.4: 'By creating a digital platform, the BMs serve as intermediaries or matchmakers in a value network who receive a commission for each successful transaction on their platform.'"
190653434,When does a freemium business model lead to high performance? — A qualitative comparative analysis based on fuzzy Sets,yes,Others,Others,medium,"Page 3: 'freemium offerings are often broken down into separately priced features or services' | Page 7, Table 3: 'The company's diverse product features can be sold separately' | 'The business user can choose to upsell according to their interests and willingness to pay' | Page 10: 'Customers need to pay for membership to purchase bundled function modules and get several functions such as meeting length, number of participants, recording and playback functions'"
190653582,Strategy and business model evolution at Adobe: Competing in digital media software industry,yes,User/seat,User/seat,high,"Page 5, Channels: 'Subscribers could now pay $49.99/month for a 1-year commitment.' | Page 4, Customers: 'It costs approximately $1800 per user upfront to purchase the licenced software.' | Page 6, Results: '833,000 new individual and team Creative Cloud subscriptions'"
190653589,Navigating the paradox of global scaling,no,,not reported,high,information not found in text
190653595,Spillover Effects and Freemium Strategy in the Mobile App Market,yes,User/seat,User/seat,high,Page 426: 'App price App price in U.S. dollars'
190653734,"Systematic Literature Review of Monetization in Mobile App: Strategies, Trends, Challenges, and Best Practices",yes,User/seat,User/seat,medium,Page 4: 'What drives users to pay in freemium is the social prestige associated with using a high-end product' and throughout the article references to user-based pricing models
