EQ_ID,EQ_Short_Description,EQ_Full_Description,Category,RQ_ID,RQ_Title,Notes
EQ01,Name and definition,What is the name and definition of the software business model presented in the article?,MODEL IDENTIFICATION,"RQ01, RQ09","Business Model Identification and Taxonomy, Business Model Canvas Elements",Taxonomy (RQ01) and distinctive characteristics (RQ09)
EQ02,Synonyms and alternative terms,What synonyms or alternative terms are used in the article to refer to this software business model?,MODEL IDENTIFICATION,RQ01,Business Model Identification and Taxonomy,Identification and terminological standardization
EQ03,Vertical segment/industry,What is the main vertical segment or industry where the software business model presented in the article is applied?,APPLICATION CONTEXT,RQ02,Application Context and Market Segmentation,Application context
EQ04,Target customer type,What is the target customer type of the software business model presented in the article?,APPLICATION CONTEXT,RQ02,Application Context and Market Segmentation,Application context - segmentation
EQ05,Offering company size,What is the typical size of offering companies that adopt this software business model as described in the article?,APPLICATION CONTEXT,RQ02,Application Context and Market Segmentation,Application context - company size
EQ06,Geographic region,In which geographic region was the software business model presented in the article studied or applied?,APPLICATION CONTEXT,RQ02,Application Context and Market Segmentation,Application context - geography
EQ07,Specific customer segment,What specific customer segment is most detailed in the article regarding the software business model?,APPLICATION CONTEXT,RQ02,Application Context and Market Segmentation,Application context - detailed segment
EQ08,Product/service type,What is the type of product or service offered by the software business model presented in the article?,OFFERING CHARACTERISTICS,RQ03,Technical and Architectural Characteristics,Technical characteristics of the offering
EQ09,Delivery/deployment,How is the software delivered or deployed in the business model presented in the article?,OFFERING CHARACTERISTICS,RQ03,Technical and Architectural Characteristics,Technical characteristics - delivery mode
EQ10,Intellectual property regime,What is the intellectual property regime adopted by the software business model presented in the article?,INTELLECTUAL PROPERTY AND LICENSING,RQ03,Technical and Architectural Characteristics,Technical characteristics - licensing
EQ11,Licensing restrictions,Are there specific restrictions or compatibilities of licensing mentioned in the article about the software business model?,INTELLECTUAL PROPERTY AND LICENSING,RQ03,Technical and Architectural Characteristics,Technical characteristics - restrictions
EQ12,Revenue sources,What are the revenue sources of the software business model presented in the article?,MONETIZATION AND PRICING,RQ04,Monetization and Pricing Strategies,Monetization - revenue sources
EQ13,Base pricing unit,What is the base unit for pricing of the software business model presented in the article?,MONETIZATION AND PRICING,RQ04,Monetization and Pricing Strategies,Monetization - pricing unit
EQ14,Price presentation structure,What is the price presentation structure of the software business model described in the article?,MONETIZATION AND PRICING,RQ04,Monetization and Pricing Strategies,Monetization - price structure
EQ15,Currency and periodicity,What currency and billing periodicity are used in the software business model as described in the article?,MONETIZATION AND PRICING,RQ04,Monetization and Pricing Strategies,Monetization - operational aspects
EQ16,Ecosystem role,What is the role of the offering company in the ecosystem of the software business model presented in the article?,ECOSYSTEM DYNAMICS,RQ05,Ecosystem Dynamics and Go-to-Market,Ecosystem dynamics - company role
EQ17,Network effect type,What type of network effect is present in the software business model presented in the article?,ECOSYSTEM DYNAMICS,RQ05,Ecosystem Dynamics and Go-to-Market,Ecosystem dynamics - network effects
EQ18,Acquisition channels,What are the customer acquisition channels of the software business model presented in the article?,GO-TO-MARKET STRATEGY,RQ05,Ecosystem Dynamics and Go-to-Market,Go-to-market - acquisition channels
EQ19,Marketplace usage,Does the software business model presented in the article use cloud marketplaces or platforms?,GO-TO-MARKET STRATEGY,RQ05,Ecosystem Dynamics and Go-to-Market,Go-to-market - marketplaces
EQ20,Business Model Canvas elements,Which Business Model Canvas elements are detailed in the article about the software business model?,BUSINESS MODEL CANVAS COMPONENTS,RQ09,Business Model Canvas Elements,Constituent elements of the model
EQ21,Ecosystem actors and interactions,Which actors participate in the ecosystem of the software business model presented in the article and how do they interact?,ACTORS AND RELATIONSHIPS,RQ05,Ecosystem Dynamics and Go-to-Market,Ecosystem dynamics - actors and relationships
EQ22,Adoption motivations,What motivations lead to the adoption of the software business model presented in the article?,ADOPTION AND SUCCESS,RQ06,Motivations, Success Factors, and Adoption Conditions,Motivations for adoption
EQ23,Success factors,What factors contribute to the success of the software business model as described in the article?,ADOPTION AND SUCCESS,RQ06,Motivations, Success Factors, and Adoption Conditions,Success factors
EQ24,Prerequisites and necessary conditions,What prerequisites or conditions are necessary for the software business model as described in the article?,RESTRICTIONS AND DEPENDENCIES,"RQ03, RQ06","Technical and Architectural Characteristics, Motivations, Success Factors, and Adoption Conditions",Technical prerequisites (RQ03) and organizational conditions (RQ06)
EQ25,Restrictions and incompatibilities,What restrictions or incompatibilities are mentioned in the article about the software business model?,RESTRICTIONS AND DEPENDENCIES,RQ06,Motivations, Success Factors, and Adoption Conditions,Limiting conditions
EQ26,Implementation challenges,What challenges are identified in implementing the software business model as presented in the article?,CHALLENGES AND MITIGATION,RQ07,Implementation Challenges and Mitigation,Challenges faced
EQ27,Mitigation practices,What practices are used to mitigate challenges of the software business model as described in the article?,CHALLENGES AND MITIGATION,RQ07,Implementation Challenges and Mitigation,Practices to solve challenges
EQ28,Metrics and quantitative results,What metrics and quantitative results are reported in the article about the software business model?,RESULTS AND METRICS,"RQ04, RQ10","Monetization and Pricing Strategies, Empirical Evidence and Methodologies",Monetization (RQ04) and empirical evidence (RQ10)
EQ29,Temporal period and maturity,What is the temporal period and maturity of the software business model as presented in the article?,TEMPORAL CONTEXT AND EVIDENCE,RQ08,Temporal Evolution and Future Trends,Temporal evolution - maturity
EQ30,Evidence type,What is the type of evidence presented in the article about the software business model?,TEMPORAL CONTEXT AND EVIDENCE,RQ10,Empirical Evidence and Methodologies,Methodological evidence type
EQ31,Companies/products cited as examples,Which companies or products are cited as examples of the software business model in the article?,TEMPORAL CONTEXT AND EVIDENCE,"RQ08, RQ10","Temporal Evolution and Future Trends, Empirical Evidence and Methodologies",Examples for evolution (RQ08) and evidence (RQ10)
EQ32,Variations and subtypes,Are there variations or subtypes of the software business model described in the article?,COMPLEMENTARY INFORMATION,RQ01,Business Model Identification and Taxonomy,Taxonomy - variations and subtypes
EQ33,Future trends,What future trends or evolutions are mentioned in the article about the software business model?,COMPLEMENTARY INFORMATION,RQ08,Temporal Evolution and Future Trends,Future trends and evolution
