QE_ID,QE_Descrição Curta,QE_Descrição Completa,Categoria,QP_ID,QP_Título,Observações
QE01,Nome e definição do modelo,"What is the name and definition of the software business model presented in the article?",MODEL IDENTIFICATION,"QP01, QP09","Identificação e Taxonomia de Modelos de Negócios, Características Distintivas e Elementos do Business Model Canvas",Taxonomia (QP01) e características distintivas (QP09)
QE02,Sinônimos e termos alternativos,"What synonyms or alternative terms are used in the article to refer to this software business model?",MODEL IDENTIFICATION,QP01,Identificação e Taxonomia de Modelos de Negócios,Identificação e padronização terminológica
QE03,Segmento vertical/indústria,"What is the main vertical segment or industry where the software business model presented in the article is applied?",APPLICATION CONTEXT,QP02,Contexto de Aplicação e Segmentação de Mercado,Contexto de aplicação
QE04,Tipo de cliente-alvo,"What is the target customer type of the software business model presented in the article?",APPLICATION CONTEXT,QP02,Contexto de Aplicação e Segmentação de Mercado,Contexto de aplicação - segmentação
QE05,Tamanho da empresa ofertante,"What is the typical size of offering companies that adopt this software business model as described in the article?",APPLICATION CONTEXT,QP02,Contexto de Aplicação e Segmentação de Mercado,Contexto de aplicação - porte da empresa
QE06,Região geográfica,"In which geographic region was the software business model presented in the article studied or applied?",APPLICATION CONTEXT,QP02,Contexto de Aplicação e Segmentação de Mercado,Contexto de aplicação - geografia
QE07,Segmento específico de cliente,"What specific customer segment is most detailed in the article regarding the software business model?",APPLICATION CONTEXT,QP02,Contexto de Aplicação e Segmentação de Mercado,Contexto de aplicação - segmento detalhado
QE08,Tipo de produto/serviço,"What is the type of product or service offered by the software business model presented in the article?",OFFERING CHARACTERISTICS,QP03,Características Técnicas e Arquiteturais da Oferta,Características técnicas da oferta
QE09,Entrega/deployment,"How is the software delivered or deployed in the business model presented in the article?",OFFERING CHARACTERISTICS,QP03,Características Técnicas e Arquiteturais da Oferta,Características técnicas - modo de entrega
QE10,Regime de propriedade intelectual,"What is the intellectual property regime adopted by the software business model presented in the article?",INTELLECTUAL PROPERTY AND LICENSING,QP03,Características Técnicas e Arquiteturais da Oferta,Características técnicas - licenciamento
QE11,Restrições de licenciamento,"Are there specific restrictions or compatibilities of licensing mentioned in the article about the software business model?",INTELLECTUAL PROPERTY AND LICENSING,QP03,Características Técnicas e Arquiteturais da Oferta,Características técnicas - restrições
QE12,Fontes de receita,"What are the revenue sources of the software business model presented in the article?",MONETIZATION AND PRICING,QP04,Estratégias de Monetização e Precificação,Monetização - fontes de receita
QE13,Unidade base de precificação,"What is the base unit for pricing of the software business model presented in the article?",MONETIZATION AND PRICING,QP04,Estratégias de Monetização e Precificação,Monetização - unidade de precificação
QE14,Estrutura de apresentação de preços,"What is the price presentation structure of the software business model described in the article?",MONETIZATION AND PRICING,QP04,Estratégias de Monetização e Precificação,Monetização - estrutura de preços
QE15,Moeda e periodicidade,"What currency and billing periodicity are used in the software business model as described in the article?",MONETIZATION AND PRICING,QP04,Estratégias de Monetização e Precificação,Monetização - aspectos operacionais
QE16,Papel no ecossistema,"What is the role of the offering company in the ecosystem of the software business model presented in the article?",ECOSYSTEM DYNAMICS,QP05,Dinâmicas de Ecossistema e Estratégias Go-to-Market,Dinâmicas de ecossistema - papel da empresa
QE17,Tipo de efeito de rede,"What type of network effect is present in the software business model presented in the article?",ECOSYSTEM DYNAMICS,QP05,Dinâmicas de Ecossistema e Estratégias Go-to-Market,Dinâmicas de ecossistema - network effects
QE18,Canais de aquisição,"What are the customer acquisition channels of the software business model presented in the article?",GO-TO-MARKET STRATEGY,QP05,Dinâmicas de Ecossistema e Estratégias Go-to-Market,Go-to-market - canais de aquisição
QE19,Uso de marketplaces,"Does the software business model presented in the article use cloud marketplaces or platforms?",GO-TO-MARKET STRATEGY,QP05,Dinâmicas de Ecossistema e Estratégias Go-to-Market,Go-to-market - marketplaces
